set_id,condition,text,mean_entropy,mean_next_token_prob,num_tokens
1,sentence,The teacher was explaining the concept to the students clearly,7.05157306459215,0.10378299856084697,10
1,jabberwocky,The nellick was trening the trell to the geffs blundlely,8.402565871967989,0.015447291500737158,18
1,stripped,freff nellick keff tren freff trell grofl freff geff blundle,8.537034130096435,0.047155128541180605,21
1,nonwords,zemble zrell kren bliv wreffin cremble plenth drell quorb heffin,9.346810926090587,0.00440890311319464,23
2,sentence,A small bird landed softly on the wooden fence,7.0250403881073,0.13234902710246388,9
2,jabberwocky,A yendle vork whiffed glorply on the driv moxen,8.084256947040558,0.0383269019161645,17
2,stripped,vren yendle vork whiff glorp yalm hreff driv moxen,9.72688172992907,0.005000307179017227,20
2,nonwords,mornix cromple blenk drell plenth yeff remble trell gribble,9.862412770589193,0.0161215024130624,22
3,sentence,The children were playing with their toys in the garden,7.007629924350315,0.1422352662419952,10
3,jabberwocky,The moxen were mornixing with their slenks in the trock,7.707815352608176,0.019520102942217763,18
3,stripped,tembly moxen blenk mornix sniv blemble slenk fleff tembly trock,8.461804847354474,0.01066821518635725,24
3,nonwords,heffin flenk demble grenth wreffin yendle frell glendle whill jendle,9.209475212097168,0.018340734773282748,26
4,sentence,She has been reading that book very carefully,7.7798221451895575,0.05580713005786363,8
4,jabberwocky,krendle has been yalming that klim very zinkly,8.387168220111302,0.025839566352650372,15
4,stripped,krendle drell cleff yalm yorbel klim grell zink,9.801401166354909,0.0036358432876916007,18
4,nonwords,quorb tren plov nellick fleff wreffin jell snell,9.701808059916777,0.0030448871157739846,18
5,sentence,The scientist discovered a new species in the forest,7.693221315741539,0.06727015643309642,9
5,jabberwocky,The sprock ploved a moxen whiffs in the reffin,6.608046754201253,0.023105199989960093,16
5,stripped,veff sprock plov tembly moxen whiff pliff veff reffin,8.333781369858318,0.004202246150477941,19
5,nonwords,freff kren teff grent wreffin sniv jembly grell remble,8.89095906207436,0.0015989956646798849,20
6,sentence,They will finish the project by tomorrow morning,7.271746703556606,0.06228601173331429,8
6,jabberwocky,drell will deffin the yrell by crell mornixing,8.753629970550538,0.006154949733415075,16
6,stripped,drell vemble deffin whisp yrell sniv crell mornix,9.396767672370462,0.006605324592796665,18
6,nonwords,klorn gremble remble klorp gleb zell prell shill,9.472543912775377,0.004038868209189626,18
7,sentence,A gentle breeze was blowing through the open window,7.403736889362335,0.18668692677351828,9
7,jabberwocky,A demble wexin was zomping through the creff daffin,8.530488014221191,0.025998390669926152,17
7,stripped,trock demble wexin blenth zomp brell jexen creff daffin,9.251878929138183,0.0033392921871950422,21
7,nonwords,remble bren flenk kreb lemble yorbel flib quemble klorp,9.435610135396322,0.0034045293045296817,22
8,sentence,The musician played the melody beautifully on stage,7.330390248979841,0.03155287488828305,8
