set_id,condition,text,mean_entropy,mean_top1,num_tokens
1,sentence,The teacher was explaining the concept to the students clearly,1.1666343482861243,0.7301432143793348,1
1,jabberwocky,The blicket was florping the daxen to the wuggles grentily,0.5517725434419781,0.9231836163257474,1
1,stripped,Ke blicket nar florp ke daxen po ke wuggle grenti,0.5033881790084667,0.9255073086732835,1
1,nonwords,blimp pliff flurn dwel verm zent flimp geff trel klent,1.846604025130728,0.4408256646271297,1
2,sentence,A small bird landed softly on the wooden fence,0.20249667023542775,0.975455322068613,1
2,jabberwocky,A flimp zorf tamped grofly on the plonken gleb,2.6794238602845293,0.35129558057204685,1
2,stripped,Na flimp zorf tamp grofl ko ke plonk gleb,0.37328357510509486,0.937117419775452,1
2,nonwords,vork yalp sken kren drell zorf verm trock flib,1.0147569922794453,0.7280678970178238,1
3,sentence,The children were playing with their toys in the garden,0.8748083523600183,0.8368048749360931,1
3,jabberwocky,The blickets were florping with their daxens in the wuggle,2.486949423052702,0.5058618351720999,1
3,stripped,Ke blicket nar florp pe zi daxen ne ke wuggle,0.7024257501254005,0.8808473209948009,1
3,nonwords,tamp sken trel grint grent yalm teff trock plonken gleb,1.3575020361090777,0.6206841509770111,1
4,sentence,She has been reading that book very carefully,2.6846683382291667,0.2596451728117003,1
4,jabberwocky,She has been florping that daxen very grentily,2.629081367453517,0.47433104210034754,1
4,stripped,Sho ha nar florp ze daxen vo grenti,0.3146347323121762,0.955574248389514,1
4,nonwords,mip whiff bliv flimp kren plonk plov trell,0.20856135336099343,0.9700686468891225,1
5,sentence,The scientist discovered a new species in the forest,3.0312187581324213,0.2354618204264902,1
5,jabberwocky,The blicket florped a flimp zorf in the wuggle,1.9323189623567,0.600831650095786,1
5,stripped,Ke blicket florp na flimp zorf ne ke wuggle,1.3249601063686842,0.7205887231797024,1
5,nonwords,snorf grof klent plov vork zent grint sniv yalm,0.6945717423318952,0.8922193933268979,1
6,sentence,They will finish the project by tomorrow morning,1.0695666206693157,0.8458043000105533,1
6,jabberwocky,They will florp the daxen by plonk gleb,0.726815625591657,0.8785735171463188,1
6,stripped,Zi wi florp ke daxen le plonk gleb,0.2440074820674838,0.9663180100448885,1
6,nonwords,flib vent yent trell grent zell klent grell,0.8036288571592145,0.8663714207904661,1
7,sentence,A gentle breeze was blowing through the open window,0.14790163871668371,0.981539568267765,1
7,jabberwocky,A flimp zorf was florping through the plonken gleb,1.1121773500193681,0.8117598206102405,1
7,stripped,Na flimp zorf nar florp so ke plonk gleb,0.5515637252827795,0.8998039794418433,1
7,nonwords,brell kreb dwel skeff whisp grell whif zell blicket,0.6558341567270813,0.8679470486864929,1
8,sentence,The musician played the melody beautifully on stage,0.011047863433245314,0.9992164080686312,1
8,jabberwocky,The blicket florped the daxen grentily on wuggle,0.7990860594950582,0.7970445058755586,1
8,stripped,Ke blicket florp ke daxen grenti ko wuggle,0.38928345439814643,0.9430770805269023,1
8,nonwords,blicket whill skeff pliff bren sprock drell verm,0.4462731457487967,0.92073792320635,1
9,sentence,He could have solved the problem more easily,1.1908894121360278,0.7067069619376336,1
9,jabberwocky,He could have florped the daxen more grentily,0.7509304003413956,0.8991172089309655,1
9,stripped,Ho ku ha florp ke daxen mo grenti,0.2733245677319117,0.9660290207853677,1
9,nonwords,whif bren blif driv zomp grenti prock keff,0.230926075225342,0.9694719569388824,1
